Movie Titles,Movie Ratings,Movie Genres,Movie Cast
Inside Out,79.22,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']","['Amy Poehler', 'Phyllis Smith', 'Bill Hader', 'Kaitlyn Dias', 'Richard Kind', 'Lewis Black', 'Mindy Kaling', 'Diane Lane', 'Kyle MacLachlan']"
Teenage Mutant Ninja Turtles: Mutant Mayhem,73.06,"['Animation', 'Comedy', 'Action', 'Science Fiction']","['Micah Abbey', 'Shamon Brown Jr.', 'Nicolas Cantu', 'Brady Noon', 'Ayo Edebiri', 'Maya Rudolph', 'John Cena', 'Seth Rogen', 'Rose Byrne']"
1962 Halloween Massacre,30.0,['Horror'],"['Ariel Ash', 'Caroline Beagles', 'Will Branner', 'William Jousset', 'Joan Milburn', 'Kyle Myhre', 'Benjamin Nowak', 'Jeremiah Wenutu']"
Gunfight at Rio Bravo,43.0,"['Western', 'Action']","['Alexander Nevsky', 'Olivier Gruner', 'Joe Cornet', 'Matthias Hues', 'Natalie Denise Sperl', 'Kerry Goodwin', 'Lee Dawson', 'John Marrs', 'Michael Paré']"
The Little Mermaid,64.84,"['Adventure', 'Family', 'Fantasy', 'Romance']","['Halle Bailey', 'Jonah Hauer-King', 'Daveed Diggs', 'Awkwafina', 'Jacob Tremblay', 'Noma Dumezweni', 'Javier Bardem', 'Melissa McCarthy', 'Art Malik']"
Black Adam,69.95,"['Action', 'Adventure', 'Science Fiction']","['Dwayne Johnson', 'Aldis Hodge', 'Noah Centineo', 'Sarah Shahi', 'Quintessa Swindell', 'Marwan Kenzari', 'Mo Amer', 'Bodhi Sabongui', 'Pierce Brosnan']"
Detective Conan: Black Iron Submarine,67.0,"['Animation', 'Action', 'Crime', 'Mystery']","['Minami Takayama', 'Wakana Yamazaki', 'Rikiya Koyama', 'Megumi Hayashibara', 'Shuichi Ikeda', 'Kazuhiko Inoue', 'Kenichi Ogata', 'Atsuko Yuya', 'Yukimasa Kishino']"
Jimmy Timmy Power Hour,70.09,"['Animation', 'Comedy', 'Family', 'Fantasy', 'TV Movie', 'Science Fiction']","['Debi Derryberry', 'Tara Strong', 'Megan Cavanagh', 'Mark DeCarlo', 'Rob Paulsen', 'Jeffrey Garcia', 'Carolyn Lawrence', 'Crystal Scales', 'Frank Welker']"
Interstellar,84.21,"['Adventure', 'Drama', 'Science Fiction']","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Michael Caine', 'Bill Irwin', 'Ellen Burstyn', 'Mackenzie Foy', 'Casey Affleck', 'John Lithgow']"
Wedding Games,50.0,"['Comedy', 'Romance']","['Dandara Mariana', 'Dan Ferreira']"
The Grinch,68.33,"['Animation', 'Family', 'Comedy', 'Fantasy']","['Benedict Cumberbatch', 'Rashida Jones', 'Kenan Thompson', 'Cameron Seely', 'Angela Lansbury', 'Pharrell Williams', 'Ramone Hamilton', 'Sam Lavagnino', 'Scarlett Estevez']"
Harry Potter and the Philosopher's Stone,79.0,"['Adventure', 'Fantasy']","['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Richard Harris', 'Tom Felton', 'Alan Rickman', 'Robbie Coltrane', 'Maggie Smith', 'Richard Griffiths']"
Genie,79.17,"['Fantasy', 'Comedy']","['Melissa McCarthy', 'Paapa Essiedu', 'Denée Benton', 'Jordyn McIntosh', 'Alan Cumming', 'Marc Maron', 'Tate Ellington', 'LaChanze', 'Ellen Cleghorne']"
Thriller Night,69.13,['Animation'],"['Michael Gough', 'Dean Edwards', 'Holly Fields', 'André Sogliuzzo', 'Cody Cameron', 'Conrad Vernon', 'Walt Dohrn', 'Bobby Kimball', 'Sean Bishop']"
Doctor Strange in the Multiverse of Madness,73.43,"['Fantasy', 'Action', 'Adventure']","['Benedict Cumberbatch', 'Elizabeth Olsen', 'Chiwetel Ejiofor', 'Benedict Wong', 'Xochitl Gomez', 'Jett Klyne', 'Julian Hilliard', 'Sheila Atim', 'Adam Hugill']"
Pet Sematary: Bloodlines,61.0,['Horror'],"['Jackson White', 'Forrest Goodluck', 'Jack Mulhern', 'Henry Thomas', 'Natalie Alyn Lind', 'Isabella Star LaBlanc', 'Pam Grier', 'David Duchovny', 'Samantha Mathis']"
The Killer,66.0,"['Crime', 'Thriller']","['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', ""Kerry O'Malley"", 'Sophie Charlotte', 'Emiliano Pernia', 'Gabriel Polanco', 'Sala Baker']"
Killers of the Flower Moon,76.92999999999999,"['Crime', 'Drama', 'History']","['Leonardo DiCaprio', 'Lily Gladstone', 'Robert De Niro', 'Jesse Plemons', 'Tantoo Cardinal', 'Scott Shepherd', 'Jason Isbell', 'William Belleau', 'Cara Jade Myers']"
Jurassic World Dominion,67.69999999999999,"['Adventure', 'Action', 'Science Fiction']","['Chris Pratt', 'Bryce Dallas Howard', 'Laura Dern', 'Sam Neill', 'Jeff Goldblum', 'DeWanda Wise', 'Mamoudou Athie', 'Isabella Sermon', 'Campbell Scott']"
57 Seconds,57.99,"['Thriller', 'Science Fiction', 'Action']","['Josh Hutcherson', 'Morgan Freeman', 'Greg Germann', 'Lovie Simone', 'Bevin Bru', 'Sammi Rotibi', 'Mark Jacobson', 'Griff Furst', 'Dickson Obahor']"
The Lake,58.67,"['Horror', 'Science Fiction', 'Thriller']","['Theerapat Sajakul', 'Sushar Manaying', 'Supansa Wedkama', 'Thanachat Tullayachat', 'Wanmai Chatborirak', 'Vithaya Pansringarm', 'Palita Chueasawathee', 'Amnaj Wajaon', 'Unruean Rachot']"
Texas Chainsaw 3D,54.699999999999996,"['Horror', 'Thriller']","['Alexandra Daddario', 'Dan Yeager', 'Trey Songz', 'Tania Raymonde', 'Paul Rae', 'Thom Barry', 'Scott Eastwood', 'Shaun Sipos', 'Richard Riehle']"
Emmanuelle: The Joys of a Woman,54.02,"['Drama', 'Romance']","['Sylvia Kristel', 'Umberto Orsini', 'Frédéric Lagache', 'Catherine Rivet', 'Henri Czarniak', 'Caroline Laurence', 'Tom Clark', 'Florence L. Afuma', 'Claire Richard']"
